Status,Started at,Completed at,Time taken,Total approvals,Age,Sex,Ethnicity simplified,Country of residence,Language
APPROVED,2023-07-14T15:03:33.781000Z,2023-07-14T15:13:45.275000Z,612,265,44,Male,DATA_EXPIRED,DATA_EXPIRED,English
APPROVED,2023-07-14T15:05:10.606000Z,2023-07-14T15:20:57.477000Z,947,368,24,Female,Black,South Africa,English
APPROVED,2023-07-14T15:07:29.141000Z,2023-07-14T15:17:23.973000Z,595,538,40,Male,White,Portugal,English
APPROVED,2023-07-14T15:10:46.614000Z,2023-07-14T15:19:21.423000Z,515,1129,52,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:11:09.256000Z,2023-07-14T15:21:01.952000Z,593,600,49,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:11:36.814000Z,2023-07-14T15:25:46.245000Z,850,222,43,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:12:59.989000Z,2023-07-14T15:21:36.199000Z,517,261,25,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:12:03.764000Z,2023-07-14T15:25:06.386000Z,783,323,51,Female,White,South Africa,English
APPROVED,2023-07-14T15:12:49.629000Z,2023-07-14T15:21:17.728000Z,509,621,34,Male,White,Poland,English
APPROVED,2023-07-14T15:13:10.212000Z,2023-07-14T15:20:27.739000Z,438,617,34,Female,White,Canada,English
APPROVED,2023-07-14T15:13:49.185000Z,2023-07-14T15:30:38.810000Z,1010,267,32,Female,Black,South Africa,English
APPROVED,2023-07-14T15:14:02.677000Z,2023-07-14T15:27:45.817000Z,824,152,29,Female,Black,South Africa,English
APPROVED,2023-07-14T15:14:29.141000Z,2023-07-14T15:25:03.243000Z,635,399,58,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:14:24.136000Z,2023-07-14T15:26:24.264000Z,721,250,46,Female,Mixed,New Zealand,English
APPROVED,2023-07-14T15:14:25.673000Z,2023-07-14T15:31:24.920000Z,1020,498,76,Female,White,South Africa,English
APPROVED,2023-07-14T15:14:36.586000Z,2023-07-14T15:22:11.347000Z,455,537,26,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:14:55.190000Z,2023-07-14T15:22:27.034000Z,452,125,34,Female,White,Ireland,English
APPROVED,2023-07-14T15:15:09.916000Z,2023-07-14T15:23:45.200000Z,516,179,22,Male,White,Canada,English
APPROVED,2023-07-14T15:16:03.420000Z,2023-07-14T15:33:03.860000Z,1021,247,45,Female,Other,South Africa,English
APPROVED,2023-07-14T15:16:18.609000Z,2023-07-14T15:30:22.454000Z,844,359,28,Male,Other,South Africa,English
APPROVED,2023-07-14T15:16:32.989000Z,2023-07-14T15:30:46.807000Z,854,635,38,Male,Black,Canada,English
APPROVED,2023-07-14T15:17:37.502000Z,2023-07-14T15:28:09.526000Z,633,154,37,Male,White,Canada,English
APPROVED,2023-07-14T15:18:17.415000Z,2023-07-14T15:26:26.650000Z,490,1328,39,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:18:40.620000Z,2023-07-14T15:30:39.126000Z,719,943,48,Male,White,Spain,English
APPROVED,2023-07-14T15:18:46.146000Z,2023-07-14T15:28:55.102000Z,609,357,27,Female,Black,South Africa,English
APPROVED,2023-07-14T15:19:17.868000Z,2023-07-14T15:29:46.018000Z,629,131,27,Female,Mixed,South Africa,English
APPROVED,2023-07-14T15:19:00.456000Z,2023-07-14T15:32:22.529000Z,803,467,25,Female,Black,South Africa,English
APPROVED,2023-07-14T15:19:56.782000Z,2023-07-14T15:28:56.627000Z,540,438,23,Female,White,South Africa,English
APPROVED,2023-07-14T15:20:14.606000Z,2023-07-14T15:30:07.252000Z,593,516,54,Male,White,United Kingdom,English
APPROVED,2023-07-14T15:20:27.827000Z,2023-07-14T15:29:24.741000Z,537,449,25,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:20:50.313000Z,2023-07-14T15:29:24.373000Z,515,382,27,Female,White,United Kingdom,English
APPROVED,2023-07-14T15:21:07.488000Z,2023-07-14T15:39:49.573000Z,1123,1372,33,Male,Mixed,Australia,English
APPROVED,2023-07-14T15:21:17.233000Z,2023-07-14T15:31:20.991000Z,604,218,26,Female,Asian,Canada,English
