"","X","Theme","Category","Source","Valence_mean","Valence_SD","Valence_N","Arousal_mean","Arousal_SD","Arousal_N","theme","theme_long","valence","n"
"1","I117","Car accident 2","Object","Pixabay",1.97222222222222,1.00891663311974,108,4.08653846153846,1.83869189953591,104,"Car ","Car accide","negative",1
"2","I229","Destruction 6","Scene","Pixabay",2.00990099009901,1.18739251728273,101,4.09708737864078,2.13061053160547,103,"Dest","Destructio","negative",2
"3","I871","War 8","Scene","Pixabay",1.7156862745098,0.958313813919198,102,5.13861386138614,1.76085037961944,101,"War ","War 8","negative",3
"4","I274","Dog 24","Animal","Wikipedia",1.8921568627451,1.08003357799927,102,4.77227722772277,2.15815285889954,101,"Dog ","Dog 24","negative",4
"5","I639","Plane crash 4","Object","Pixabay",2.04950495049505,1.04284454856668,101,4.10679611650485,1.91952108691778,103,"Plan","Plane cras","negative",5
"6","I83","Bloody knife 2","Object","Flickr/Steven Depolo",2.25742574257426,1.10139425590053,101,3.90291262135922,1.99270514286679,103,"Bloo","Bloody kni","negative",6
"7","I326","Fire 9","Scene","Pixabay",1.47058823529412,0.740696519312469,102,5.14851485148515,1.88884164828003,101,"Fire","Fire 9","negative",7
"8","I631","Pigeon 6","Animal","Flickr/internets_dairy",2.32407407407407,1.1007958353379,108,3.81730769230769,2.01337480812652,104,"Pige","Pigeon 6","negative",8
"9","I740","Shot 3","Object","Pixabay",1.91666666666667,0.977551776958906,108,4.17307692307692,2.0310325830101,104,"Shot","Shot 3","negative",9
"10","I234","Dirt 1","Scene","Pixabay",1.6078431372549,0.82241930893244,102,4.98019801980198,1.97979896969264,101,"Dirt","Dirt 1","negative",10
"11","I383","Garbage dump 5","Scene","Pixabay",2.13725490196078,1.00532459352294,102,3.32673267326733,1.6976979171283,101,"Garb","Garbage du","negative",11
"12","I166","Cockroach 1","Animal","Pixabay",2.05882352941176,1.17585889747351,102,4.34653465346535,2.1745603857532,101,"Cock","Cockroach ","negative",12
"13","I617","Performance 1","Scene","Pixabay",5.57425742574257,1.08946348863526,101,3.86407766990291,1.72096953801367,103,"Perf","Performanc","positive",1
"14","I346","Flowers 3","Object","Pixabay",5.79207920792079,1.09833357121749,101,3.70873786407767,1.84513705299541,103,"Flow","Flowers 3","positive",2
"15","I291","Elephant 1","Animal","Pixabay",5.86274509803922,0.975331532222767,102,4.38613861386139,1.5618597698238,101,"Elep","Elephant 1","positive",3
"16","I434","Horse 1","Animal","Pixabay",5.93518518518519,1.05257271063824,108,3.72115384615385,1.71490740087542,104,"Hors","Horse 1","positive",4
"17","I813","Sunset 4","Scene","Pixabay",6.1078431372549,0.994110007908443,102,4.31683168316832,1.83265213867393,101,"Suns","Sunset 4","positive",5
"18","I335","Fireworks 2","Scene","Pixabay",6.27450980392157,0.902766515269065,102,4.98019801980198,1.74344600157161,101,"Fire","Fireworks ","positive",6
"19","I430","Happy pose 3","Scene","Wikipedia",5.74257425742574,0.986442754005874,101,3.93203883495146,1.67016575391064,103,"Happ","Happy pose","positive",7
"20","I96","Bridge 1","Scene","Pixabay",5.89108910891089,0.999009410356178,101,3.55339805825243,1.77525560346764,103,"Brid","Bridge 1","positive",8
"21","I661","Rainbow 2","Scene","Pixabay",6.25742574257426,0.95554660112979,101,4.90291262135922,1.70071820530585,103,"Rain","Rainbow 2","positive",9
"22","I372","Galaxy 2","Scene","Pixabay",5.77227722772277,1.02840836362616,101,4.4368932038835,1.91828100597763,103,"Gala","Galaxy 2","positive",10
"23","I66","Beach 8","Scene","Pixabay",5.85294117647059,1.00884267408749,102,3.89108910891089,1.88627140199394,101,"Beac","Beach 8","positive",11
"24","I178","Cold 8","Object","Pixabay",5.52475247524752,1.16270425651531,101,3.48543689320388,1.68537002203509,103,"Cold","Cold 8","positive",12
