Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63f39a008b4caa5c0786a9b8,59a9d2a36fde8c0001cee6df,APPROVED,2023-02-20T16:04:22.875000Z,2023-02-20T16:22:41.532000Z,2023-02-20T19:08:17.598000,2023-02-20T16:22:42.108513Z,1099,C1EMCZK0,691,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63f39a526c98b846b2c20dfb,60accd3d6f3f272083a2f14f,APPROVED,2023-02-20T16:05:38.160000Z,2023-02-20T16:22:05.334000Z,2023-02-20T19:08:17.729000,2023-02-20T16:22:05.721127Z,988,C1EMCZK0,275,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
63f39a659c5ea052c38456d8,5a8c5f67000dab00018cd8f0,APPROVED,2023-02-20T16:06:01.414000Z,2023-02-20T16:20:29.980000Z,2023-02-20T19:08:17.855000,2023-02-20T16:20:30.369759Z,869,C1EMCZK0,696,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63f39a68168130d909d4ec2f,60b525abdd43859c7a9b7d26,APPROVED,2023-02-20T16:06:05.693000Z,2023-02-20T16:17:42.865000Z,2023-02-20T19:08:17.986000,2023-02-20T16:17:43.303617Z,698,C1EMCZK0,136,23,Female,Asian,Indonesia,Germany,Indonesia,English,Yes,Part-Time
63f39a69c12d966924c5c4a0,5fa2f4eccc7f3f57d0a93756,APPROVED,2023-02-20T16:06:07.773000Z,2023-02-20T16:19:42.599000Z,2023-02-20T19:08:18.116000,2023-02-20T16:19:43.076671Z,815,C1EMCZK0,421,51,Female,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63f39a9ba55c794228bc033d,5b6d98d55d764f000151a842,APPROVED,2023-02-20T16:06:56.517000Z,2023-02-20T16:17:22.507000Z,2023-02-20T19:08:22.613000,2023-02-20T16:17:22.887821Z,626,C1EMCZK0,211,25,Male,White,Ireland,Ireland,Ireland,English,Yes,Unemployed (and job seeking)
63f39aa6ae0eee76adb1f418,5c371dd21ede2b0001152915,APPROVED,2023-02-20T16:07:06.655000Z,2023-02-20T16:17:26.415000Z,2023-02-20T19:08:18.243000,2023-02-20T16:17:29.251463Z,620,C1EMCZK0,759,24,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
63f39ac46d329453f9572954,60479c2017ec4a044c2ed68f,APPROVED,2023-02-20T16:07:32.942000Z,2023-02-20T16:36:25.200000Z,2023-02-20T19:08:18.370000,2023-02-20T16:36:40.394953Z,1733,C1EMCZK0,116,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
63f39ac7b7c08509a6f9d6f1,615aecb2d3ef3c51b22f4048,APPROVED,2023-02-20T16:07:51.790000Z,2023-02-20T16:21:21.957000Z,2023-02-20T19:08:22.742000,2023-02-20T16:21:22.429069Z,811,C1EMCZK0,420,60,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
63f39ad0fe662f7865f28917,5c080adf76e77b00016744dc,APPROVED,2023-02-20T16:09:18.850000Z,2023-02-20T16:24:02.430000Z,2023-02-20T19:08:22.867000,2023-02-20T16:24:02.807652Z,884,C1EMCZK0,348,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
