"","X","Theme","Category","Source","Valence_mean","Valence_SD","Valence_N","Arousal_mean","Arousal_SD","Arousal_N","theme","theme_long","valence","n"
"1","I791","Soldiers 10","Scene","Pixabay",2.6039603960396,1.37897939013454,101,4.1747572815534,1.84936228789351,103,"Sold","Soldiers 1","negative",1
"2","I370","Funeral 1","Scene","Pixabay",2.92156862745098,1.18310109801104,102,4.23762376237624,1.89287355547847,101,"Fune","Funeral 1","negative",2
"3","I645","Pollution 1","Scene","Pixabay",2.47524752475248,1.33112027560203,101,3.62135922330097,1.85301294057241,103,"Poll","Pollution ","negative",3
"4","I421","Hallway 1","Scene","Wikipedia",2.61111111111111,1.12601632873847,108,3.375,1.94680470096241,104,"Hall","Hallway 1","negative",4
"5","I382","Garbage dump 4","Scene","Pixabay",1.63888888888889,0.814108460630266,108,3.78846153846154,1.94922477457253,104,"Garb","Garbage du","negative",5
"6","I850","Tornado 3","Scene","Pixabay",2.66336633663366,1.22700633839253,101,4.67961165048544,1.84822963640413,103,"Torn","Tornado 3","negative",6
"7","I445","Jail 4","Scene","Pixabay",2.11111111111111,1.04419475153236,108,3.43269230769231,1.78866128318351,104,"Jail","Jail 4","negative",7
"8","I121","Car crash 2","Scene","Wikipedia",1.99009900990099,0.83060278719675,101,4.21359223300971,1.87684803273422,103,"Car ","Car crash ","negative",8
"9","I343","Flood 3","Scene","Pixabay",2.29411764705882,1.1568841328816,102,4.28712871287129,1.74548923607891,101,"Floo","Flood 3","negative",9
"10","I305","Explosion 4","Scene","Pixabay",2.5,1.33605640935253,108,4.30769230769231,2.03406390806095,104,"Expl","Explosion ","negative",10
"11","I637","Plane crash 2","Scene","Pixabay",2.81372549019608,1.19180694958806,102,3.87128712871287,1.68323121606411,101,"Plan","Plane cras","negative",11
"12","I868","War 5","Scene","Pixabay",2.45544554455446,1.45275429770658,101,4.38834951456311,2.16130411661225,103,"War ","War 5","negative",12
"13","I663","Road 1","Scene","Pixabay",5.05882352941176,1.16740831184706,102,3.37623762376238,1.54176188270767,101,"Road","Road 1","positive",1
"14","I810","Sunset 1","Scene","Pixabay",6.06862745098039,1.03655755402358,102,3.77227722772277,1.86483880332222,101,"Suns","Sunset 1","positive",2
"15","I809","Sunflower 1","Scene","Pixabay",5.87128712871287,1.0739028479023,101,3.8252427184466,1.77359270069573,103,"Sunf","Sunflower ","positive",3
"16","I755","Skydiving 1","Scene","Pixabay",5.23148148148148,1.27232572007785,108,4.68269230769231,1.59041072473066,104,"Skyd","Skydiving ","positive",4
"17","I517","Nature 2","Scene","Pixabay",5.66666666666667,1.04676146803228,102,3.57425742574257,1.75696633236648,101,"Natu","Nature 2","positive",5
"18","I59","Beach 1","Scene","Pixabay",6.36633663366337,0.845254663130914,101,4.7378640776699,1.69173982290505,103,"Beac","Beach 1","positive",6
"19","I430","Happy pose 3","Scene","Wikipedia",5.74257425742574,0.986442754005874,101,3.93203883495146,1.67016575391064,103,"Happ","Happy pose","positive",7
"20","I617","Performance 1","Scene","Pixabay",5.57425742574257,1.08946348863526,101,3.86407766990291,1.72096953801367,103,"Perf","Performanc","positive",8
"21","I705","Sailing 2","Scene","Wikipedia",5.30392156862745,1.02241430139088,102,4.56435643564356,1.43816439661228,101,"Sail","Sailing 2","positive",9
"22","I241","Dock 1","Scene","Pixabay",5.56435643564356,1.02387344514992,101,3.64077669902913,1.63211860951653,103,"Dock","Dock 1","positive",10
"23","I99","Building 1","Scene","Pixabay",5.03703703703704,1.48466255913702,108,3.20192307692308,1.74811858750119,104,"Buil","Building 1","positive",11
"24","I675","Rollercoaster 1","Scene","Wikipedia",5.44554455445545,1.20395388221271,101,4.70873786407767,1.58195131404947,103,"Roll","Rollercoas","positive",12
