Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67e2f9ab9cc33c9b6b3cd220,65609260cdf7ff43bc121cc9,APPROVED,Not Applicable,2025-03-25T18:45:23.223000Z,2025-03-25T19:06:12.814000Z,2025-03-25T19:52:01.439000Z,2025-03-25T19:06:15.293777Z,1250.0,CYZTAQI1,86,English,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67e2f9e1572e76bebef8c377,66cdc82a149ba9c066f670fb,APPROVED,Not Applicable,2025-03-25T18:46:00.546000Z,2025-03-25T19:06:24.973000Z,2025-03-25T19:52:01.838000Z,2025-03-25T19:06:26.540727Z,1225.0,CYZTAQI1,218,English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67e2f9ee50ac0d64030ee1f7,65c347be7d456f4e0902823d,APPROVED,Not Applicable,2025-03-25T18:48:44.157000Z,2025-03-25T19:07:50.025000Z,2025-03-25T19:52:18.338000Z,2025-03-25T19:07:52.104456Z,1146.0,CYZTAQI1,685,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67e2f9f9fb2c1a3df7cea562,66840f135d4fce807b86ee00,APPROVED,Not Applicable,2025-03-25T18:46:46.661000Z,2025-03-25T19:06:44.118000Z,2025-03-25T19:52:02.280000Z,2025-03-25T19:06:44.972296Z,1198.0,CYZTAQI1,195,English,37,Male,White,Brazil,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
67e2f9fe482b43d09729cbf2,5c28e9dfda51990001e3204b,APPROVED,Not Applicable,2025-03-25T18:46:33.930000Z,2025-03-25T19:06:57.274000Z,2025-03-25T19:52:18.684000Z,2025-03-25T19:06:58.111481Z,1224.0,CYZTAQI1,2171,English,40,Female,White,United States,United States,United States,English,No,Full-Time
67e2fa678107acb3ef945ea3,65b68acc71be98a237ceb19d,APPROVED,Not Applicable,2025-03-25T18:48:18.113000Z,2025-03-25T19:17:44.279000Z,2025-03-25T19:52:19.138000Z,2025-03-25T19:17:46.660421Z,1767.0,CYZTAQI1,236,English,19,Female,Asian,Pakistan,United States,Pakistan,English,Yes,Unemployed (and job seeking)
67e2fa6e17f3c41464e4bce1,6344bee5162a79b88400ec7c,APPROVED,Not Applicable,2025-03-25T18:48:25.185000Z,2025-03-25T19:05:30.168000Z,2025-03-25T19:52:02.635000Z,2025-03-25T19:05:32.075152Z,1025.0,CYZTAQI1,1035,English,33,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67e2fa6f264cb8fd940a09f3,668ed736a1b8272b324e6c63,RETURNED,Not Applicable,2025-03-25T18:48:33.739000Z,,,2025-03-25T23:11:24.303712Z,,,646,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67e2fa8afbe000d5302a310d,6658b1d70a199938231e4be6,APPROVED,Not Applicable,2025-03-25T18:49:02.177000Z,2025-03-25T19:09:17.658000Z,2025-03-25T19:52:19.552000Z,2025-03-25T19:09:21.639054Z,1216.0,CYZTAQI1,209,"English, Other",35,Female,Black,Zimbabwe,United Kingdom,United Kingdom,English,No,Full-Time
67e2fab0be69a58c40a5d6dd,5c51d18698b0ff000110da96,APPROVED,Not Applicable,2025-03-25T18:49:36.691000Z,2025-03-25T19:11:15.096000Z,2025-03-25T19:52:19.916000Z,2025-03-25T19:11:16.637561Z,1299.0,CYZTAQI1,2425,English,41,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
